distance,timestamp,altitude,calories,enhanced_altitude,heart_rate,position_lat,position_long,cadence,fractional_cadence,enhanced_speed,power,speed
426.37,2024-09-21 20:33:48,8.600000000000023,0.0,8.600000000000023,,163685072.0,1199715956.0,82.0,0.0,,,
429.22,2024-09-21 20:33:49,8.800000000000011,0.0,8.800000000000011,165.0,163684693.0,1199715821.0,82.0,0.0,,,
432.06,2024-09-21 20:33:50,8.800000000000011,0.0,8.800000000000011,,163684312.0,1199715689.0,82.0,0.0,3.632,254.0,3.632
436.52,2024-09-21 20:33:51,8.800000000000011,0.0,8.800000000000011,,163683929.0,1199715559.0,82.0,0.0,,,
440.98,2024-09-21 20:33:52,9.0,0.0,9.0,,163683546.0,1199715429.0,94.0,0.0,3.647,255.0,3.647
444.43,2024-09-21 20:33:53,9.0,0.0,9.0,,163683163.0,1199715297.0,94.0,0.0,,,
447.89,2024-09-21 20:33:54,9.199999999999989,0.0,9.199999999999989,,163682779.0,1199715165.0,94.0,0.0,,,
451.35,2024-09-21 20:33:55,9.199999999999989,0.0,9.199999999999989,,163682394.0,1199715033.0,82.0,0.0,3.655,255.0,3.655
456.15,2024-09-21 20:33:56,9.199999999999989,0.0,9.199999999999989,165.0,163682007.0,1199714901.0,82.0,0.0,,,
460.94,2024-09-21 20:33:57,9.399999999999977,0.0,9.399999999999977,164.0,163681618.0,1199714770.0,82.0,0.0,3.673,257.0,3.673
463.97,2024-09-21 20:33:58,9.399999999999977,0.0,9.399999999999977,,163681230.0,1199714638.0,82.0,0.0,,,
467.0,2024-09-21 20:33:59,9.399999999999977,0.0,9.399999999999977,,163680842.0,1199714506.0,82.0,0.0,,,
470.03,2024-09-21 20:34:00,9.600000000000023,0.0,9.600000000000023,,163680455.0,1199714371.0,94.0,0.0,3.674,257.0,3.674
473.56,2024-09-21 20:34:01,9.600000000000023,0.0,9.600000000000023,,163680069.0,1199714233.0,94.0,0.0,,,
477.09,2024-09-21 20:34:02,9.600000000000023,0.0,9.600000000000023,,163679682.0,1199714093.0,94.0,0.0,,,
480.62,2024-09-21 20:34:03,9.800000000000011,0.0,9.800000000000011,,163679295.0,1199713949.0,82.0,0.0,3.701,259.0,3.701
485.29,2024-09-21 20:34:04,9.800000000000011,0.0,9.800000000000011,164.0,163678907.0,1199713803.0,82.0,0.0,,,
489.95,2024-09-21 20:34:05,9.800000000000011,0.0,9.800000000000011,,163678518.0,1199713659.0,82.0,0.0,3.7,259.0,3.7
493.18,2024-09-21 20:34:06,9.800000000000011,0.0,9.800000000000011,,163678130.0,1199713520.0,82.0,0.0,,,
